Disease,Sex,Age_Group,Count
"Other diseases of the digestive system (K82-K83,K90-K92)",Male,(17 - 49),2459
"Other diseases of the digestive system (K82-K83,K90-K92)",Female,(17 - 49),2055
Infections of skin and subcutaneous tissue (L00-L08),Male,(17 - 49),29353
Infections of skin and subcutaneous tissue (L00-L08),Female,(17 - 49),19014
Other diseases of skin and subcutaneous tissue (L10-L98),Male,(17 - 49),13704
Other diseases of skin and subcutaneous tissue (L10-L98),Female,(17 - 49),11398
"Disorders of joints (M00-M02,M15-M25)",Male,(17 - 49),6079
"Disorders of joints (M00-M02,M15-M25)",Female,(17 - 49),4305
Rheumatoid arthritis and other inflamatory polyarthropathies (M05-M13),Male,(17 - 49),951
Rheumatoid arthritis and other inflamatory polyarthropathies (M05-M13),Female,(17 - 49),1552
Systemic connective tissue disorders (M30-M35),Male,(17 - 49),218
Systemic connective tissue disorders (M30-M35),Female,(17 - 49),1044
Soft tissue disorders (M60-M79),Male,(17 - 49),12912
Soft tissue disorders (M60-M79),Female,(17 - 49),9275
Osteomyelitis (M86),Male,(17 - 49),536
Osteomyelitis (M86),Female,(17 - 49),243
"Other disorders of musculoskeletal system (M40-M54, M80-M85,M87-M99)",Male,(17 - 49),18429
"Other disorders of musculoskeletal system (M40-M54, M80-M85,M87-M99)",Female,(17 - 49),14385
Glomerular diseases (N00-N07),Male,(17 - 49),1115
Glomerular diseases (N00-N07),Female,(17 - 49),1105
Infections of the kidney (N10-N12),Male,(17 - 49),1689
Infections of the kidney (N10-N12),Female,(17 - 49),2909
Renal failure (N17-N19),Male,(17 - 49),4294
Renal failure (N17-N19),Female,(17 - 49),2252
Urolithiasis (N20-N23),Male,(17 - 49),20602
Urolithiasis (N20-N23),Female,(17 - 49),6536
Diseases of breast (N60-N64),Male,(17 - 49),617
Diseases of breast (N60-N64),Female,(17 - 49),7308
"Other diseases of the urinary system (N13-N15, N25-N28,N30-N39,N99.0,N99.1,N99.4,N99.5)",Male,(17 - 49),21428
"Other diseases of the urinary system (N13-N15, N25-N28,N30-N39,N99.0,N99.1,N99.4,N99.5)",Female,(17 - 49),30596
Hyperplasia of prostate (N40),Male,(17 - 49),446
Hyperplasia of prostate (N40),Female,(17 - 49),0
Hydrocele and spermatocele (N43),Male,(17 - 49),861
Hydrocele and spermatocele (N43),Female,(17 - 49),0
"Other diseases of the male genital organs (N41,N42,N44-N50)",Male,(17 - 49),5100
"Other diseases of the male genital organs (N41,N42,N44-N50)",Female,(17 - 49),0
Salpingitis and oophoritis (N70),Male,(17 - 49),0
Salpingitis and oophoritis (N70),Female,(17 - 49),340
Female genital prolapse (N81),Male,(17 - 49),0
Female genital prolapse (N81),Female,(17 - 49),2951
"Other disorders of the female genito-urinary system (N71-N80,N82-N98,N99.2,N99.3)",Male,(17 - 49),0
"Other disorders of the female genito-urinary system (N71-N80,N82-N98,N99.2,N99.3)",Female,(17 - 49),54581
Abortions (O00-O08),Male,(17 - 49),0
Abortions (O00-O08),Female,(17 - 49),48886
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",Male,(17 - 49),0
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",Female,(17 - 49),12261
Supervision of high risk pregnancy (Z35),Male,(17 - 49),0
Supervision of high risk pregnancy (Z35),Female,(17 - 49),7675
"Placenta praevia, premature separation of placenta and antepartum haemorrhage (O44-O46)",Male,(17 - 49),0
"Placenta praevia, premature separation of placenta and antepartum haemorrhage (O44-O46)",Female,(17 - 49),2671
False Labour (O47),Male,(17 - 49),0
False Labour (O47),Female,(17 - 49),11634
Those admitted and discharged before delivery (Distance from hospital etc.),Male,(17 - 49),0
Those admitted and discharged before delivery (Distance from hospital etc.),Female,(17 - 49),21052
"Other Maternal care related to fetus and amniotic cavity and possible  delivery problems (O30-O43,O48) * (Includes still births)",Male,(17 - 49),0
"Other Maternal care related to fetus and amniotic cavity and possible  delivery problems (O30-O43,O48) * (Includes still births)",Female,(17 - 49),21584
Obstructed Labour (O64-O66),Male,(17 - 49),0
Obstructed Labour (O64-O66),Female,(17 - 49),583
Post parturm haemorrhage (O72),Male,(17 - 49),0
Post parturm haemorrhage (O72),Female,(17 - 49),1999
Single spontaneous delivery (O80),Male,(17 - 49),0
Single spontaneous delivery (O80),Female,(17 - 49),221714
"Other  complications of pregnancy and delivery (020-029,060-063,067-071,073-075,081-084)",Male,(17 - 49),0
"Other  complications of pregnancy and delivery (020-029,060-063,067-071,073-075,081-084)",Female,(17 - 49),177818
Complications predominantly related to the puerperium (O85-O92),Male,(17 - 49),0
Complications predominantly related to the puerperium (O85-O92),Female,(17 - 49),2551
Other obstetric conditions not elsewhere classified (O95-O99),Male,(17 - 49),0
Other obstetric conditions not elsewhere classified (O95-O99),Female,(17 - 49),11466
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",Male,(17 - 49),0
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",Female,(17 - 49),0
"Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight (P05-P07)",Male,(17 - 49),0
"Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight (P05-P07)",Female,(17 - 49),0
Birth trauma (P10-P15),Male,(17 - 49),0
Birth trauma (P10-P15),Female,(17 - 49),0
"Intrauterine hypoxia, birth asphyxia and other respiratory disorders originating in the perinatal period (P20-P28)",Male,(17 - 49),0
"Intrauterine hypoxia, birth asphyxia and other respiratory disorders originating in the perinatal period (P20-P28)",Female,(17 - 49),0
Haemolytic disease of fetus and new born (P55),Male,(17 - 49),0
Haemolytic disease of fetus and new born (P55),Female,(17 - 49),0
"Other conditions originating in the perinatal period (P08,P29,P35.1-P39,P50-P54,P56-P96)",Male,(17 - 49),0
"Other conditions originating in the perinatal period (P08,P29,P35.1-P39,P50-P54,P56-P96)",Female,(17 - 49),0
"Congenital hydrocephalus and spina bifida (Q03,Q05)",Male,(17 - 49),1
"Congenital hydrocephalus and spina bifida (Q03,Q05)",Female,(17 - 49),64
"Other congenital malformations of the nervous system (Q00-Q02,Q04,Q06,Q07)",Male,(17 - 49),65
"Other congenital malformations of the nervous system (Q00-Q02,Q04,Q06,Q07)",Female,(17 - 49),13
Congenital malformations of the circulatory system (Q20-Q28),Male,(17 - 49),184
Congenital malformations of the circulatory system (Q20-Q28),Female,(17 - 49),362
Cleft lip and cleft palate (Q35-Q37),Male,(17 - 49),31
Cleft lip and cleft palate (Q35-Q37),Female,(17 - 49),38
"Other congenital malformations and deformations (Q10-Q18,Q30-Q34,Q38-Q89)",Male,(17 - 49),260
"Other congenital malformations and deformations (Q10-Q18,Q30-Q34,Q38-Q89)",Female,(17 - 49),231
"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",Male,(17 - 49),6
"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",Female,(17 - 49),11
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Male,(17 - 49),21258
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Female,(17 - 49),20493
Symptoms and signs involving the digestive system and abdomen (R10-R19),Male,(17 - 49),30086
Symptoms and signs involving the digestive system and abdomen (R10-R19),Female,(17 - 49),40340
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Male,(17 - 49),3368
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Female,(17 - 49),3098
Fever of unknown origin (R50),Male,(17 - 49),11266
Fever of unknown origin (R50),Female,(17 - 49),8044
Headache (R51),Male,(17 - 49),5066
Headache (R51),Female,(17 - 49),7354
Senility (R54),Male,(17 - 49),0
Senility (R54),Female,(17 - 49),0
"Convulsions, not elsewhere classified (R56)",Male,(17 - 49),2254
"Convulsions, not elsewhere classified (R56)",Female,(17 - 49),1670
"Other signs and symptoms and abnormal clinical findings (R25-R49,R52,R53,R55,R57-R69)",Male,(17 - 49),20343
"Other signs and symptoms and abnormal clinical findings (R25-R49,R52,R53,R55,R57-R69)",Female,(17 - 49),22646
Abnormal findings in investigations not elsewhere classified (R70-R94),Male,(17 - 49),554
Abnormal findings in investigations not elsewhere classified (R70-R94),Female,(17 - 49),657
Ill-defined and unknown causes of mortality (R95-R99),Male,(17 - 49),600
Ill-defined and unknown causes of mortality (R95-R99),Female,(17 - 49),161
"Superficial injury (S00,S10,S20,S30,S40,S50,S60,S70,S80,S90, T00,T09.0,T11.0,T13.0,T14.0)",Male,(17 - 49),80885
"Superficial injury (S00,S10,S20,S30,S40,S50,S60,S70,S80,S90, T00,T09.0,T11.0,T13.0,T14.0)",Female,(17 - 49),32967
"Fractures (S02,S12,S22,S32,S42,S52,S62,S72,S82,S92, T02,T08,T10,T12,T14.2)",Male,(17 - 49),33506
"Fractures (S02,S12,S22,S32,S42,S52,S62,S72,S82,S92, T02,T08,T10,T12,T14.2)",Female,(17 - 49),9585
"Dislocations, sprains and strains (S03,S13,S23,S33,S43,S53,S63,S73,S83,S93, T03,T09.2,T11.2,T13.2,T14.3)",Male,(17 - 49),5378
"Dislocations, sprains and strains (S03,S13,S23,S33,S43,S53,S63,S73,S83,S93, T03,T09.2,T11.2,T13.2,T14.3)",Female,(17 - 49),1771
Injury to eye and orbit (S05),Male,(17 - 49),6913
Injury to eye and orbit (S05),Female,(17 - 49),2608
Intracranial injuries (S06),Male,(17 - 49),2239
Intracranial injuries (S06),Female,(17 - 49),924
"Injury of other internal organs (S26,S27,S36,S37)",Male,(17 - 49),1296
"Injury of other internal organs (S26,S27,S36,S37)",Female,(17 - 49),485
"Crushing injuries and traumatic amputations (S07,S08,S17,S18,S28,S38,S47,S48, S57,S58,S67,S68,S77,S78,S87,S88,S97,S98,T04,T05,   T09.6,T11.6,T13.6,T14.7)",Male,(17 - 49),8421
"Crushing injuries and traumatic amputations (S07,S08,S17,S18,S28,S38,S47,S48, S57,S58,S67,S68,S77,S78,S87,S88,S97,S98,T04,T05,   T09.6,T11.6,T13.6,T14.7)",Female,(17 - 49),2585
"Open wounds and injuries to blood vessels (S01,S11,S15,S21,S25,S31,S35,S41,S45, S51, S55,S61,S65,S71,S75,S81,S85,S91,S95,T01,T06.3,T09.1,T11.1,T11.4,T13.1,  T13.4,  T14.1,  T14.5)",Male,(17 - 49),78088
"Open wounds and injuries to blood vessels (S01,S11,S15,S21,S25,S31,S35,S41,S45, S51, S55,S61,S65,S71,S75,S81,S85,S91,S95,T01,T06.3,T09.1,T11.1,T11.4,T13.1,  T13.4,  T14.1,  T14.5)",Female,(17 - 49),27674
"Injuries to nerves (S04,S14,S24,S34,S44,S54,  S64,S74,S84,S94,T06.2, T11.3,T13.3,T14.4)",Male,(17 - 49),576
"Injuries to nerves (S04,S14,S24,S34,S44,S54,  S64,S74,S84,S94,T06.2, T11.3,T13.3,T14.4)",Female,(17 - 49),184
Bitten or struck by dog (W54),Male,(17 - 49),15962
Bitten or struck by dog (W54),Female,(17 - 49),11423
"Other injuries of specified, unspecified and multiple body regions (S09,S16,S19,S29,S39,S46,S49,S56, S59,S66,S69,S76,S79, S86,S89,S96,S99,T06.0,T06.1,T06.4-T06.8, T07,T09.3-TO9.5,T09.8,T09.9,T11.5, T11.8,T11.9,T13.5,T13.8,T13.9, T14.6,T14.8,T14.9)",Male,(17 - 49),65014
"Other injuries of specified, unspecified and multiple body regions (S09,S16,S19,S29,S39,S46,S49,S56, S59,S66,S69,S76,S79, S86,S89,S96,S99,T06.0,T06.1,T06.4-T06.8, T07,T09.3-TO9.5,T09.8,T09.9,T11.5, T11.8,T11.9,T13.5,T13.8,T13.9, T14.6,T14.8,T14.9)",Female,(17 - 49),25272
Effects of foregin body entering through orifice (T15-T19),Male,(17 - 49),11581
Effects of foregin body entering through orifice (T15-T19),Female,(17 - 49),6678
Burns and corrosion confined to eye and adnexa (T26),Male,(17 - 49),909
Burns and corrosion confined to eye and adnexa (T26),Female,(17 - 49),452
"All other burns and corrosions (T20-T25,T27-T32)",Male,(17 - 49),2757
"All other burns and corrosions (T20-T25,T27-T32)",Female,(17 - 49),2053
"Poisoning by drugs, medicaments and biological substances (T36-T50)",Male,(17 - 49),7786
"Poisoning by drugs, medicaments and biological substances (T36-T50)",Female,(17 - 49),11642
Toxic effects of organophosphate and carbamate insecticides (T60.0),Male,(17 - 49),6200
Toxic effects of organophosphate and carbamate insecticides (T60.0),Female,(17 - 49),4022
Toxic effects of other pesticides (T60.1-T60.9),Male,(17 - 49),2602
Toxic effects of other pesticides (T60.1-T60.9),Female,(17 - 49),1699
Snake bites (T63.0),Male,(17 - 49),13718
Snake bites (T63.0),Female,(17 - 49),8160
"Toxic effects of other substances chiefly non medicinal as to source (T51-T59,T61,T62,T63.1-T63.9,T64,T65)",Male,(17 - 49),8985
"Toxic effects of other substances chiefly non medicinal as to source (T51-T59,T61,T62,T63.1-T63.9,T64,T65)",Female,(17 - 49),7936
"Other unspecified effects of external causes (T33-T35,T66-T78)",Male,(17 - 49),7636
"Other unspecified effects of external causes (T33-T35,T66-T78)",Female,(17 - 49),7563
Certain early complications of trauma (T79),Male,(17 - 49),3249
Certain early complications of trauma (T79),Female,(17 - 49),1626
Complications of surgical and medical care not elsewhere classified (T80-T88),Male,(17 - 49),2057
Complications of surgical and medical care not elsewhere classified (T80-T88),Female,(17 - 49),2208
"Sequelae of injuries, poisoning and of other consequences of external causes (T90-T98)",Male,(17 - 49),1328
"Sequelae of injuries, poisoning and of other consequences of external causes (T90-T98)",Female,(17 - 49),848
"Persons encountering health services for examination, investigation and for specific procedures of health care (Z00-Z13,Z40-Z54)",Male,(17 - 49),89992
"Persons encountering health services for examination, investigation and for specific procedures of health care (Z00-Z13,Z40-Z54)",Female,(17 - 49),109971
Sterilization (Z30.2)(admissions only for sterilization),Male,(17 - 49),143
Sterilization (Z30.2)(admissions only for sterilization),Female,(17 - 49),6204
Undiagnosed / Uncoded,Male,(17 - 49),82468
Undiagnosed / Uncoded,Female,(17 - 49),88951
Total,Male,(17 - 49),1125478
Total,Female,(17 - 49),1514981
Cholera (A00),Male,(50 - 69),0
Typhoid and para typhoid fever (A01),Male,(50 - 69),155
Typhoid and para typhoid fever (A01),Female,(50 - 69),148
Shigellosis (A03),Male,(50 - 69),95
Shigellosis (A03),Female,(50 - 69),107
Amoebiasis with liver abscess(A06.4),Male,(50 - 69),30
Amoebiasis with liver abscess(A06.4),Female,(50 - 69),5
"Amoebiasis others (A06.0-A06.3,A06.5-A06.9)",Male,(50 - 69),121
"Amoebiasis others (A06.0-A06.3,A06.5-A06.9)",Female,(50 - 69),122
"Food poisoning (A02.0,A05)",Male,(50 - 69),242
"Food poisoning (A02.0,A05)",Female,(50 - 69),250
Diarrhoea and gastroenteritis of presumed infectious origin (A09),Male,(50 - 69),7001
Diarrhoea and gastroenteritis of presumed infectious origin (A09),Female,(50 - 69),9938
"Other intestinal infectious diseases (A04,A07,A08)",Male,(50 - 69),301
"Other intestinal infectious diseases (A04,A07,A08)",Female,(50 - 69),447
"Tuberculosis of lung confirmed by sputum microscopy, culture,histologically or by unspecified means  (A15.0-A15.3)",Male,(50 - 69),965
"Tuberculosis of lung confirmed by sputum microscopy, culture,histologically or by unspecified means  (A15.0-A15.3)",Female,(50 - 69),356
Tuberculosis of lung not confirmed (A16-A16.2),Male,(50 - 69),748
Tuberculosis of lung not confirmed (A16-A16.2),Female,(50 - 69),269
Other Respiratory Tuberculosis confirmed bacteriologically and histologically   (A15.4-A15.9),Male,(50 - 69),111
Other Respiratory Tuberculosis confirmed bacteriologically and histologically   (A15.4-A15.9),Female,(50 - 69),75
Other Respiratory Tuberculosis not confirmed (A16.3-A16.9),Male,(50 - 69),340
Other Respiratory Tuberculosis not confirmed (A16.3-A16.9),Female,(50 - 69),115
Tuberculosis of nervous system (A17),Male,(50 - 69),21
Tuberculosis of nervous system (A17),Female,(50 - 69),18
Tuberculosis of other organs (A18),Male,(50 - 69),125
Tuberculosis of other organs (A18),Female,(50 - 69),62
Miliary tuberculosis (A19),Male,(50 - 69),16
Miliary tuberculosis (A19),Female,(50 - 69),9
Plague (A20),Male,(50 - 69),1
Plague (A20),Female,(50 - 69),0
Anthrax (A22),Male,(50 - 69),0
Anthrax (A22),Female,(50 - 69),0
Brucellosis (A23),Male,(50 - 69),0
Brucellosis (A23),Female,(50 - 69),0
Leptospirosis (A27),Male,(50 - 69),1813
Leptospirosis (A27),Female,(50 - 69),430
Leprosy (A30),Male,(50 - 69),120
Leprosy (A30),Female,(50 - 69),52
Tetanus neonatorum (A33),Male,(50 - 69),0
Tetanus neonatorum (A33),Female,(50 - 69),0
Obsterical tetanus (A34),Male,(50 - 69),0
Obsterical tetanus (A34),Female,(50 - 69),0
Other tetanus (A35),Male,(50 - 69),22
Other tetanus (A35),Female,(50 - 69),9
Diphtheria (A36),Male,(50 - 69),0
Diphtheria (A36),Female,(50 - 69),0
Whooping cough(A37),Male,(50 - 69),1
Whooping cough(A37),Female,(50 - 69),0
Meningococcal infections (A39),Male,(50 - 69),11
Meningococcal infections (A39),Female,(50 - 69),18
"Septicaemia (A40,A41)",Male,(50 - 69),250
"Septicaemia (A40,A41)",Female,(50 - 69),299
"Other bacterial diseases (A21,A24-A26,A28,A31,A32,A38,A42-A49)",Male,(50 - 69),149
"Other bacterial diseases (A21,A24-A26,A28,A31,A32,A38,A42-A49)",Female,(50 - 69),146
Congenital Syphilis(A50),Male,(50 - 69),0
Congenital Syphilis(A50),Female,(50 - 69),0
Early Syphilis(A51),Male,(50 - 69),8
Early Syphilis(A51),Female,(50 - 69),5
Late Syphilis(A52),Male,(50 - 69),0
Late Syphilis(A52),Female,(50 - 69),1
Other and unspecified Syphilis(A53),Male,(50 - 69),4
Other and unspecified Syphilis(A53),Female,(50 - 69),3
Gonococcal infections (A54),Male,(50 - 69),2
Gonococcal infections (A54),Female,(50 - 69),1
Chlamydial lymphogranuloma (venereum)(A55),Male,(50 - 69),9
Chlamydial lymphogranuloma (venereum)(A55),Female,(50 - 69),16
Other sexually transmitted chlamydia diseases(A56),Male,(50 - 69),0
Other sexually transmitted chlamydia diseases(A56),Female,(50 - 69),5
Chancroid(A57),Male,(50 - 69),1
Chancroid(A57),Female,(50 - 69),0
Granuloma inguinale(A58),Male,(50 - 69),9
Granuloma inguinale(A58),Female,(50 - 69),0
Trichomoniasis(A59),Male,(50 - 69),0
Trichomoniasis(A59),Female,(50 - 69),1
Anogenital herpesviral (herpes simplex) infection(A60),Male,(50 - 69),4
Anogenital herpesviral (herpes simplex) infection(A60),Female,(50 - 69),12
"Other predominantly sexually transmitted diseases, not elsewhere classified(A63)",Male,(50 - 69),2
"Other predominantly sexually transmitted diseases, not elsewhere classified(A63)",Female,(50 - 69),1
Unspecified sexually transmitted disease(A64),Male,(50 - 69),3
Unspecified sexually transmitted disease(A64),Female,(50 - 69),3
Rabies (A82),Male,(50 - 69),1
Rabies (A82),Female,(50 - 69),2
Viral encephalitis (includes Japanese Encephalitis)       (A83-A86),Male,(50 - 69),33
Viral encephalitis (includes Japanese Encephalitis)       (A83-A86),Female,(50 - 69),31
Viral meningitis (A87),Male,(50 - 69),57
Viral meningitis (A87),Female,(50 - 69),83
Dengue fever (A90),Male,(50 - 69),2033
Dengue fever (A90),Female,(50 - 69),1859
Dengue haemorrhagic fever (A91),Male,(50 - 69),243
Dengue haemorrhagic fever (A91),Female,(50 - 69),253
"Other arthropod-borne viral fever and viral haemorrhagic fever (A92-A94,A96-A99)",Male,(50 - 69),259
"Other arthropod-borne viral fever and viral haemorrhagic fever (A92-A94,A96-A99)",Female,(50 - 69),355
Varicella (Chickenpox) (B01),Male,(50 - 69),215
Varicella (Chickenpox) (B01),Female,(50 - 69),145
Zoster (herpese zoster) (B02),Male,(50 - 69),408
Zoster (herpese zoster) (B02),Female,(50 - 69),535
Measles (B05),Male,(50 - 69),30
Measles (B05),Female,(50 - 69),32
Rubella (B06),Male,(50 - 69),2
Rubella (B06),Female,(50 - 69),2
Congenital rubella (P35.0),Male,(50 - 69),0
Congenital rubella (P35.0),Female,(50 - 69),0
Acute hepatitis A (B15),Male,(50 - 69),72
Acute hepatitis A (B15),Female,(50 - 69),83
Acute hepatitis B (B16),Male,(50 - 69),38
Acute hepatitis B (B16),Female,(50 - 69),22
"Chronic, other acute and unspecified viral hepatitis(B17-B19)",Male,(50 - 69),76
"Chronic, other acute and unspecified viral hepatitis(B17-B19)",Female,(50 - 69),40
Human immunodeficiency virus (HIV) (B20-B24),Male,(50 - 69),19
Human immunodeficiency virus (HIV) (B20-B24),Female,(50 - 69),22
Mumps (B26),Male,(50 - 69),52
Mumps (B26),Female,(50 - 69),70
"Other viral diseases(includes viral fever)(A81,A88,A89,B00,B03,B04,B07-09,B25,B27-B34)",Male,(50 - 69),18025
"Other viral diseases(includes viral fever)(A81,A88,A89,B00,B03,B04,B07-09,B25,B27-B34)",Female,(50 - 69),17055
Mycosis (B35-B49),Male,(50 - 69),296
Mycosis (B35-B49),Female,(50 - 69),197
Malaria (B50-B54),Male,(50 - 69),9
Malaria (B50-B54),Female,(50 - 69),4
Filariasis (B74),Male,(50 - 69),29
Filariasis (B74),Female,(50 - 69),7
"Helminthiasis (B76,B77,B79,B80)",Male,(50 - 69),14
"Helminthiasis (B76,B77,B79,B80)",Female,(50 - 69),6
Scabies (B86),Male,(50 - 69),80
Scabies (B86),Female,(50 - 69),29
Sequelae of infectious and parasitic diseases (B90-B94),Male,(50 - 69),47
Sequelae of infectious and parasitic diseases (B90-B94),Female,(50 - 69),31
"Other infectious and parasitic diseases (A02.1-A02.9,A65-A79,B55-B73,B75,B78,B81-B85,B87-B89,B95-B99)",Male,(50 - 69),554
"Other infectious and parasitic diseases (A02.1-A02.9,A65-A79,B55-B73,B75,B78,B81-B85,B87-B89,B95-B99)",Female,(50 - 69),648
"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",Male,(50 - 69),3726
"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",Female,(50 - 69),743
Malaignant neoplasm of oesophagus (C15),Male,(50 - 69),1706
Malaignant neoplasm of oesophagus (C15),Female,(50 - 69),1117
Malignant neoplasm of stomach (C16),Male,(50 - 69),538
Malignant neoplasm of stomach (C16),Female,(50 - 69),184
Malignant neoplasm of colon (C18),Male,(50 - 69),1088
Malignant neoplasm of colon (C18),Female,(50 - 69),1216
"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",Male,(50 - 69),1479
"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",Female,(50 - 69),1131
Malignant neoplasm of liver and intrahepatic bile duct (C22),Male,(50 - 69),439
Malignant neoplasm of liver and intrahepatic bile duct (C22),Female,(50 - 69),162
Malignant neoplasm of pancreas (C25),Male,(50 - 69),201
Malignant neoplasm of pancreas (C25),Female,(50 - 69),144
"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",Male,(50 - 69),143
"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",Female,(50 - 69),138
Malignant neoplasm of larnyx (C32),Male,(50 - 69),856
Malignant neoplasm of larnyx (C32),Female,(50 - 69),84
"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",Male,(50 - 69),2427
"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",Female,(50 - 69),728
"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",Male,(50 - 69),90
"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",Female,(50 - 69),68
"Malignant neoplasm of bone and articular cartilage (C40,C41)",Male,(50 - 69),133
"Malignant neoplasm of bone and articular cartilage (C40,C41)",Female,(50 - 69),51
"Melanoma and other malignant neoplasm of skin (C43,C44)",Male,(50 - 69),316
"Melanoma and other malignant neoplasm of skin (C43,C44)",Female,(50 - 69),154
"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",Male,(50 - 69),240
"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",Female,(50 - 69),199
Malignant neoplasm of breast (C50),Male,(50 - 69),79
Malignant neoplasm of breast (C50),Female,(50 - 69),6096
Malignant neoplasm of cervix uteri (C53),Male,(50 - 69),0
Malignant neoplasm of cervix uteri (C53),Female,(50 - 69),2023
"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",Male,(50 - 69),0
"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",Female,(50 - 69),1075
Malignant neoplasm of placenta (C58),Male,(50 - 69),0
Malignant neoplasm of placenta (C58),Female,(50 - 69),18
"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",Male,(50 - 69),0
"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",Female,(50 - 69),3544
Malignant neoplasm of prostate (C61),Male,(50 - 69),809
Malignant neoplasm of prostate (C61),Female,(50 - 69),0
"Malignant neoplasm of other male genital organs (C60,C62,C63)",Male,(50 - 69),159
"Malignant neoplasm of other male genital organs (C60,C62,C63)",Female,(50 - 69),0
Malignant neoplasm of bladder (C67),Male,(50 - 69),892
Malignant neoplasm of bladder (C67),Female,(50 - 69),219
"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",Male,(50 - 69),215
"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",Female,(50 - 69),96
Malignant neoplasm of eye and adnexa (C69),Male,(50 - 69),20
Malignant neoplasm of eye and adnexa (C69),Female,(50 - 69),15
Malignant neoplasm of brain(C71),Male,(50 - 69),225
Malignant neoplasm of brain(C71),Female,(50 - 69),156
"Malignant neoplasm of other parts of the central nervous system (C70,C72)",Male,(50 - 69),22
"Malignant neoplasm of other parts of the central nervous system (C70,C72)",Female,(50 - 69),25
Malignant neoplasm of thyroid gland (C73),Male,(50 - 69),205
Malignant neoplasm of thyroid gland (C73),Female,(50 - 69),426
"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",Male,(50 - 69),732
"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",Female,(50 - 69),475
Hodgkin's disease (C81),Male,(50 - 69),260
Hodgkin's disease (C81),Female,(50 - 69),125
Leukaemia (C91-C95),Male,(50 - 69),681
Leukaemia (C91-C95),Female,(50 - 69),499
"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",Male,(50 - 69),1627
"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",Female,(50 - 69),1416
In situ neoplasm (D00-D09),Male,(50 - 69),40
In situ neoplasm (D00-D09),Female,(50 - 69),57
Benign neoplasm (D10-D36),Male,(50 - 69),939
Benign neoplasm (D10-D36),Female,(50 - 69),1792
Neoplasm of uncertain or unknown behaviour (D37-D48),Male,(50 - 69),1088
Neoplasm of uncertain or unknown behaviour (D37-D48),Female,(50 - 69),668
Iron deficiency anaemias (D50),Male,(50 - 69),809
Iron deficiency anaemias (D50),Female,(50 - 69),981
Thalasemia (D56),Male,(50 - 69),44
Thalasemia (D56),Female,(50 - 69),90
"Other anaemias (D51-D55,D57-D64)",Male,(50 - 69),1815
"Other anaemias (D51-D55,D57-D64)",Female,(50 - 69),2254
Haemorrhagic conditions and other diseases of blood and blood forming organs and certain disorders involving immune mechanism (D65-D89),Male,(50 - 69),441
Haemorrhagic conditions and other diseases of blood and blood forming organs and certain disorders involving immune mechanism (D65-D89),Female,(50 - 69),374
Iodine-deficiency related thyroid disorders (E00-E02),Male,(50 - 69),35
Iodine-deficiency related thyroid disorders (E00-E02),Female,(50 - 69),110
Thyrotoxicosis (E05),Male,(50 - 69),124
Thyrotoxicosis (E05),Female,(50 - 69),380
"Other disorders of thyroid (E03,E04,E06,E07)",Male,(50 - 69),665
"Other disorders of thyroid (E03,E04,E06,E07)",Female,(50 - 69),2292
Insulin-dependent diabetes mellitus(E10),Male,(50 - 69),3855
